9ICD,"icd, icdA, icdE, b1136, JW1122",
9ICD,icd,
9ATC,pyrB,19
9ATC,pyrI,
9ABP,"araF, b1901, JW1889",
9ABP,araF,9
8ICD,"icd, icdA, icdE, b1136, JW1122",
8ICD,icd,
8GEP,cysI,
8ATC,pyrB,52
8ATC,pyrI,28
8AT1,pyrB,55
8AT1,pyrI,29
8ABP,"araF, b1901, JW1889",
8ABP,araF,4
7R1R,"nrdA, dnaF, b2234, JW2228",
7R1R,nrdA,
7R1R,nrdB,
7ICD,"icd, icdA, icdE, b1136, JW1122",
7ICD,icd,
7GEP,cysI,
7DFR,"folA, tmrA, b0048, JW0047",
7DFR,folA,63
7CEI,"colE7, cea",
7AT1,pyrB,46
7AT1,pyrI,22
7ABP,"araF, b1901, JW1889",
7ABP,araF,6
6R1R,"nrdA, dnaF, b2234, JW2228",
6R1R,nrdA,
6R1R,nrdB,
6ICD,"icd, icdA, icdE, b1136, JW1122",
6ICD,icd,
6GEP,cysI,
6DFR,"folA, tmrA, b0048, JW0047",
6DFR,folA,57
6AT1,pyrB,21
6AT1,pyrI,31
6ABP,"araF, b1901, JW1889",
6ABP,araF,7
5TMP,tmk,2
5R1R,"nrdA, dnaF, b2234, JW2228",
5R1R,nrdA,
5R1R,nrdB,
5K98,"hipA, b1507, JW1500",
5K58,"slmA, EcE24377A_4142",
5JJ4,"P0AEY0:, malE, Z5632, ECs5017, Q9GZX7:, AICDA, AID",
5JBN,"coaD, kdtB, yicA, b3634, JW3609",
5J63,"arnA, ECHG_02161",
5J4D,"rpmH, rpl34, TTHA0446",
5J4D,"rpmA, TTHA1782",
5J4D,"prfA, sueB, uar, b1211, JW1202",
5J4C,"rpsZ, rpsN, TTHA1679",
5J4C,"rpsU, TTHA1396",
5J4C,"rpsT, rps20, TTHA1397",
5J4C,"rpsS, TTHA1688",
5J4C,"rpsR, TTHA0243",
5J4C,"rpsQ, TTHA1683",
5J4C,"rpsP, TTHA1035",
5J4C,"rpsO, TTHA1138",
5J4C,"rpsM, rps13, TTHA1667",
5J4C,"rpsL, TTHA1697",
5J4C,"rpsK, rps11, TTHA1666",
5J4C,"rpsJ, TTHA1693",
5J4C,"rpsI, rps9, TTHA1464",
5J4C,"rpsH, TTHA1678",
5J4C,"rpsG, rps7, TTHA1696",
5J4C,"rpsF, TTHA0245",
5J4C,"rpsE, TTHA1675",
5J4C,"rpsD, rps4, TTHA1665",
5J4C,"rpsC, rps3, TTHA1686",
5J4C,"rpsB, rps2, TTHA0861",
5J4C,"rpmJ, TTHA1668",
5J4C,"rpmI, TTHA0552",
5J4C,"rpmH, rpl34, TTHA0446",
5J4C,"rpmG, rpl33, TTHA0250",
5J4C,"rpmF, rpl32, TTHA0418",
5J4C,"rpmE, TTHA1073",
5J4C,"rpmD, TTHA1674",
5J4C,"rpmC, TTHA1684",
5J4C,"rpmB, TTHA0042",
5J4C,"rpmA, TTHA1782",
5J4C,"rplY, rpl25, rptL5, TTHA1589",
5J4C,"rplX, TTHA1681",
5J4C,"rplW, TTHA1690",
5J4C,"rplV, TTHA1687",
5J4C,"rplU, TTHA1783",
5J4C,"rplT, TTHA0553",
5J4C,"rplS, TTHA1031",
5J4C,"rplR, TTHA1676",
5J4C,"rplQ, rpl17, TTHA1663",
5J4C,"rplP, TTHA1685",
5J4C,"rplO, TTHA1673",
5J4C,"rplN, TTHA1682",
5J4C,"rplM, TTHA1465",
5J4C,"rplI, TTHA0242",
5J4C,"rplF, TTHA1677",
5J4C,"rplE, TTHA1680",
5J4C,"rplD, TTHA1691",
5J4C,"rplC, TTHA1692",
5J4C,"rplB, TTHA1689",
5J4B,"rpsZ, rpsN, TTHA1679",
5J4B,"rpsU, TTHA1396",
5J4B,"rpsT, rps20, TTHA1397",
5J4B,"rpsS, TTHA1688",
5J4B,"rpsR, TTHA0243",
5J4B,"rpsQ, TTHA1683",
5J4B,"rpsP, TTHA1035",
5J4B,"rpsO, TTHA1138",
5J4B,"rpsM, rps13, TTHA1667",
5J4B,"rpsL, TTHA1697",
5J4B,"rpsK, rps11, TTHA1666",
5J4B,"rpsJ, TTHA1693",
5J4B,"rpsI, rps9, TTHA1464",
5J4B,"rpsH, TTHA1678",
5J4B,"rpsG, rps7, TTHA1696",
5J4B,"rpsF, TTHA0245",
